operator,conquest_epoch
Add,2921.0
Subtract,2887.0
Multiply,5757.0
Divide,2396.0
Modulo,4681.0
Add,2905.0
Subtract,2613.0
Multiply,5601.0
Divide,2436.0
Modulo,4859.0
Add,2259.0
Subtract,2723.0
Multiply,6423.0
Divide,2420.0
Modulo,5494.0
Add,2583.0
Subtract,2757.0
Multiply,5875.0
Divide,2395.0
Modulo,5031.0
Add,3009.0
Subtract,2562.0
Multiply,6190.0
Divide,2344.0
Modulo,4836.0
Add,2682.0
Subtract,2731.0
Multiply,5760.0
Divide,2378.0
Modulo,5304.0
Add,2417.0
Subtract,2966.0
Multiply,5685.0
Divide,2325.0
Modulo,4976.0
Add,2770.0
Subtract,2763.0
Multiply,5545.0
Divide,2441.0
Modulo,4502.0
Add,2833.0
Subtract,3136.0
Multiply,5498.0
Divide,2367.0
Modulo,4901.0
Add,2923.0
Subtract,2570.0
Multiply,6380.0
Divide,2325.0
Modulo,4480.0
Add,2187.0
Subtract,2638.0
Multiply,6188.0
Divide,2372.0
Modulo,5027.0
Add,2504.0
Subtract,2632.0
Multiply,5644.0
Divide,2378.0
Modulo,4518.0
Add,2432.0
Subtract,2947.0
Multiply,6012.0
Divide,2318.0
Modulo,4907.0
Add,2316.0
Subtract,2694.0
Multiply,5813.0
Divide,2254.0
Modulo,4835.0
Add,2906.0
Subtract,2724.0
Multiply,6223.0
Divide,2426.0
Modulo,4924.0
Add,2313.0
Subtract,2891.0
Multiply,5667.0
Divide,2654.0
Modulo,4668.0
Add,2479.0
Subtract,2691.0
Multiply,5675.0
Divide,2432.0
Modulo,4535.0
Add,2634.0
Subtract,2545.0
Multiply,5794.0
Divide,2423.0
Modulo,4318.0
Add,2383.0
Subtract,2816.0
Multiply,5686.0
Divide,2472.0
Modulo,4930.0
Add,2773.0
Subtract,2678.0
Multiply,6065.0
Divide,2543.0
Modulo,5119.0
Add,2701.0
Subtract,2791.0
Multiply,5778.0
Divide,2634.0
Modulo,5108.0
Add,2179.0
Subtract,2630.0
Multiply,6128.0
Divide,2438.0
Modulo,4408.0
Add,2243.0
Subtract,2835.0
Multiply,5827.0
Divide,2338.0
Modulo,4764.0
Add,2765.0
Subtract,2791.0
Multiply,5649.0
Divide,2437.0
Modulo,5004.0
Add,2507.0
Subtract,2573.0
Multiply,6183.0
Divide,2399.0
Modulo,4395.0
Add,2197.0
Subtract,3227.0
Multiply,5558.0
Divide,2256.0
Modulo,4626.0
Add,2722.0
Subtract,2586.0
Multiply,5921.0
Divide,2567.0
Modulo,4386.0
Add,2311.0
Subtract,2453.0
Multiply,5788.0
Divide,2447.0
Modulo,4411.0
Add,2633.0
Subtract,2996.0
Multiply,5312.0
Divide,2479.0
